S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S2_1,S2_2,S3_1,S3_2,S4_1,Nivel_agua,Nivel_total
1524.09109,1524.67935,1530.2498,1538.64309,1552.56155,1553.27935,1530.98802,1539.25588,1544.75078,1550.43679,1545.14126,257.0,257.0
1524.09169,1524.68008,1530.25018,1538.64302,1552.5615,1553.27925,1530.98791,1539.25739,1544.75003,1550.43622,1545.14163,257.0,257.0
1524.09153,1524.67952,1530.24998,1538.64361,1552.56137,1553.27843,1530.9888,1539.25983,1544.7501,1550.43599,1545.14088,257.0,257.0
1524.09184,1524.67977,1530.25012,1538.64324,1552.56111,1553.27896,1530.98877,1539.25757,1544.75008,1550.43619,1545.14076,257.0,257.0
1524.0914,1524.67912,1530.24965,1538.64234,1552.56137,1553.279,1530.98842,1539.25621,1544.75112,1550.43692,1545.14108,257.0,257.0
1524.09075,1524.67837,1530.24999,1538.64278,1552.56072,1553.27894,1530.98842,1539.25679,1544.7499,1550.43655,1545.14102,257.0,257.0
1524.09206,1524.67927,1530.25013,1538.64311,1552.56131,1553.27949,1530.98895,1539.25727,1544.75049,1550.43595,1545.14057,257.0,257.0
1524.09232,1524.67955,1530.24978,1538.64312,1552.56114,1553.27873,1530.98913,1539.25708,1544.75037,1550.43599,1545.14119,257.0,257.0
1524.09225,1524.67896,1530.24912,1538.64267,1552.56074,1553.27835,1530.98965,1539.25725,1544.74852,1550.43562,1545.14213,257.0,257.0
1524.09121,1524.67856,1530.24922,1538.64339,1552.56125,1553.27862,1530.98945,1539.25707,1544.75022,1550.43525,1545.14062,257.0,257.0
1524.09294,1524.67844,1530.24941,1538.6431,1552.56131,1553.27897,1530.98896,1539.25711,1544.75031,1550.43652,1545.14101,257.0,257.0
1524.09377,1524.67921,1530.24989,1538.64319,1552.56092,1553.27906,1530.98982,1539.25735,1544.75023,1550.43588,1545.14025,257.0,257.0
1524.09176,1524.67879,1530.25037,1538.64283,1552.56175,1553.2789,1530.99011,1539.25739,1544.75017,1550.43465,1545.14075,257.0,257.0
1524.09188,1524.67844,1530.24968,1538.64364,1552.56196,1553.27852,1530.99057,1539.25743,1544.74946,1550.43565,1545.14076,257.0,257.0
1524.09262,1524.67849,1530.24902,1538.64312,1552.5614,1553.27905,1530.99056,1539.25717,1544.75106,1550.43512,1545.14112,257.0,257.0
1524.09208,1524.67757,1530.24935,1538.64326,1552.56199,1553.27884,1530.99073,1539.25847,1544.74843,1550.43497,1545.14089,257.0,257.0
1524.09075,1524.67765,1530.24881,1538.64289,1552.56107,1553.27899,1530.99036,1539.25715,1544.74923,1550.43535,1545.14042,257.0,257.0
1524.09279,1524.67828,1530.24957,1538.64338,1552.56138,1553.27874,1530.99108,1539.25778,1544.74968,1550.43428,1545.14094,257.0,257.0
1524.09259,1524.67773,1530.24957,1538.64325,1552.56109,1553.27864,1530.99123,1539.25774,1544.75106,1550.43503,1545.14107,257.0,257.0
1524.09134,1524.67789,1530.24958,1538.64304,1552.56114,1553.27868,1530.99063,1539.25778,1544.75034,1550.43516,1545.14099,257.0,257.0
1524.09338,1524.6772,1530.24996,1538.64326,1552.56135,1553.27889,1530.99163,1539.25755,1544.74955,1550.43453,1545.14076,257.0,257.0
1524.09338,1524.67757,1530.24986,1538.6431,1552.56149,1553.27942,1530.99096,1539.25758,1544.75137,1550.4346,1545.14135,257.0,257.0
1524.08978,1524.67792,1530.24974,1538.64304,1552.56151,1553.27882,1530.99113,1539.25748,1544.75146,1550.43515,1545.14073,257.0,257.0
1524.09533,1524.67776,1530.24977,1538.64317,1552.56127,1553.27949,1530.99223,1539.25764,1544.7507,1550.43451,1545.13995,257.0,257.0
1524.09284,1524.67814,1530.24938,1538.64318,1552.56133,1553.27864,1530.99173,1539.25816,1544.75018,1550.43507,1545.14069,257.0,257.0
1524.09223,1524.67661,1530.24961,1538.64339,1552.56123,1553.27948,1530.99173,1539.2578,1544.7504,1550.43468,1545.141,257.0,257.0
1524.09226,1524.67737,1530.24898,1538.64295,1552.56106,1553.27907,1530.99161,1539.25765,1544.7508,1550.43499,1545.14045,257.0,257.0
1524.09234,1524.67757,1530.24858,1538.64322,1552.56107,1553.27859,1530.99111,1539.25819,1544.75055,1550.4342,1545.14114,257.0,257.0
1524.09288,1524.67761,1530.24833,1538.64349,1552.56154,1553.27941,1530.99191,1539.25788,1544.75027,1550.43408,1545.1404,257.0,257.0
1524.09281,1524.67775,1530.24903,1538.64282,1552.5615,1553.27885,1530.99197,1539.25726,1544.75049,1550.43379,1545.14097,257.0,257.0
1524.09279,1524.67727,1530.24873,1538.64291,1552.56217,1553.27929,1530.9912,1539.25692,1544.75168,1550.43432,1545.14084,257.0,257.0
1524.09207,1524.67727,1530.24887,1538.64327,1552.56117,1553.27899,1530.99206,1539.25778,1544.75061,1550.434,1545.14185,257.0,257.0
1524.09263,1524.67716,1530.24905,1538.64329,1552.56128,1553.27774,1530.99203,1539.25781,1544.75012,1550.43389,1545.14093,257.0,257.0
1524.09173,1524.67688,1530.24911,1538.64294,1552.561,1553.27894,1530.99253,1539.2576,1544.75163,1550.43424,1545.14083,257.0,257.0
1524.09182,1524.67672,1530.25016,1538.64301,1552.5612,1553.27858,1530.99302,1539.25772,1544.75057,1550.4341,1545.14112,257.0,257.0
1524.09184,1524.67677,1530.25034,1538.64333,1552.56129,1553.279,1530.99289,1539.25816,1544.75048,1550.43396,1545.13941,257.0,257.0
1524.09331,1524.67726,1530.24899,1538.64288,1552.56193,1553.27912,1530.99298,1539.2573,1544.75039,1550.43379,1545.14041,257.0,257.0
1524.09411,1524.67715,1530.25013,1538.64347,1552.56056,1553.27854,1530.99318,1539.25744,1544.74981,1550.43356,1545.14073,257.0,257.0
1524.09429,1524.67652,1530.24863,1538.64334,1552.56167,1553.27919,1530.99355,1539.25843,1544.75096,1550.43357,1545.14054,257.0,257.0
1524.09398,1524.67674,1530.24843,1538.64303,1552.56241,1553.27811,1530.99385,1539.25868,1544.7507,1550.43304,1545.14057,257.0,257.0
1524.0933,1524.67651,1530.24855,1538.6434,1552.56254,1553.27895,1530.99396,1539.25833,1544.75094,1550.43364,1545.14085,257.0,257.0
1524.09412,1524.67691,1530.24782,1538.64345,1552.56175,1553.27872,1530.99535,1539.25801,1544.75024,1550.43381,1545.14056,257.0,257.0
1524.09412,1524.67572,1530.24905,1538.64296,1552.56141,1553.27902,1530.99341,1539.25769,1544.74973,1550.43371,1545.14066,257.0,257.0
1524.09412,1524.67631,1530.24825,1538.64355,1552.56091,1553.27898,1530.99368,1539.2578,1544.75032,1550.43318,1545.1392,257.0,257.0
1524.09412,1524.67679,1530.24849,1538.64387,1552.56173,1553.27889,1530.99333,1539.25809,1544.75046,1550.43316,1545.14076,257.0,257.0
1524.09412,1524.67652,1530.24887,1538.64323,1552.56238,1553.27881,1530.99351,1539.25762,1544.751,1550.43266,1545.14119,257.0,257.0
1524.09412,1524.67585,1530.2497,1538.64289,1552.56171,1553.2793,1530.99341,1539.25779,1544.75095,1550.43312,1545.14046,257.0,257.0
1524.09412,1524.6762,1530.24968,1538.64274,1552.56157,1553.27868,1530.99417,1539.25792,1544.75006,1550.43334,1545.14046,257.0,257.0
1524.09412,1524.67653,1530.24928,1538.64335,1552.56155,1553.27933,1530.99405,1539.25834,1544.75088,1550.4329,1545.13963,257.0,257.0
1524.09412,1524.67573,1530.24964,1538.64314,1552.56198,1553.27896,1530.99423,1539.25829,1544.75004,1550.43273,1545.14103,257.0,257.0
1524.09412,1524.67538,1530.24926,1538.64342,1552.56122,1553.2789,1530.99391,1539.2583,1544.75078,1550.43284,1545.14044,257.0,257.0
1524.09231,1524.67482,1530.25023,1538.64306,1552.5619,1553.2791,1530.99411,1539.25815,1544.75015,1550.43195,1545.13981,257.0,257.0
1524.09198,1524.67401,1530.24832,1538.64307,1552.56112,1553.27855,1530.99541,1539.25793,1544.75051,1550.43187,1545.14078,257.0,257.0
1524.09417,1524.6754,1530.24827,1538.64287,1552.56184,1553.27895,1530.99562,1539.25842,1544.75009,1550.43267,1545.14007,257.0,257.0
1524.09417,1524.6758,1530.24865,1538.64298,1552.56132,1553.27847,1530.99521,1539.25809,1544.7494,1550.43274,1545.14077,257.0,257.0
1524.09417,1524.67571,1530.248,1538.64213,1552.56175,1553.27859,1530.99546,1539.25921,1544.74981,1550.43226,1545.14059,257.0,257.0
1524.09417,1524.67555,1530.24957,1538.64246,1552.56202,1553.27935,1530.99486,1539.25797,1544.75091,1550.4321,1545.14096,257.0,257.0
1524.09417,1524.67543,1530.24838,1538.64303,1552.56153,1553.2792,1530.99575,1539.25768,1544.75109,1550.43218,1545.14045,257.0,257.0
1524.09417,1524.67411,1530.24839,1538.64299,1552.56311,1553.27897,1530.99572,1539.25809,1544.75124,1550.43226,1545.14116,257.0,257.0
1524.09625,1524.67489,1530.24821,1538.64275,1552.56229,1553.27906,1530.99658,1539.25821,1544.75098,1550.43209,1545.14092,257.0,257.0
1524.09625,1524.67398,1530.24875,1538.6431,1552.56243,1553.27889,1530.99581,1539.25745,1544.74984,1550.43213,1545.13995,257.0,257.0
1524.09625,1524.67308,1530.24888,1538.64257,1552.56196,1553.27935,1530.99701,1539.25886,1544.75112,1550.43193,1545.14007,257.0,257.0
1524.09596,1524.67373,1530.24853,1538.64281,1552.56196,1553.27909,1530.99589,1539.25846,1544.75074,1550.43174,1545.13999,257.0,257.0
1524.09306,1524.67408,1530.24789,1538.64256,1552.5617,1553.27887,1530.99544,1539.25846,1544.75202,1550.43209,1545.14103,257.0,257.0
1524.0942,1524.67468,1530.24763,1538.64273,1552.5619,1553.27865,1530.99638,1539.25863,1544.75167,1550.43109,1545.14116,257.0,257.0
1524.09368,1524.67375,1530.24881,1538.64342,1552.56195,1553.27914,1530.99725,1539.25792,1544.75192,1550.43199,1545.14069,257.0,257.0
1524.09469,1524.67332,1530.2484,1538.64296,1552.56171,1553.2793,1530.99653,1539.25831,1544.75185,1550.43175,1545.14012,257.0,257.0
1524.0929,1524.67396,1530.24873,1538.64281,1552.5619,1553.27929,1530.99687,1539.25871,1544.75143,1550.43271,1545.14026,257.0,257.0
1524.09265,1524.67397,1530.24836,1538.6427,1552.56117,1553.27934,1530.99688,1539.25894,1544.7514,1550.43152,1545.14085,257.0,257.0
1524.09286,1524.67412,1530.2484,1538.64278,1552.56164,1553.27895,1530.99733,1539.25877,1544.75132,1550.4312,1545.14091,257.0,257.0
1524.09291,1524.67324,1530.24887,1538.64225,1552.5625,1553.27875,1530.99729,1539.25832,1544.75196,1550.43086,1545.14032,257.0,257.0
1524.09459,1524.67376,1530.24911,1538.64274,1552.56216,1553.27902,1530.99704,1539.25846,1544.75132,1550.43081,1545.1406,257.0,257.0
1524.09619,1524.67339,1530.24882,1538.64225,1552.5623,1553.27885,1530.99692,1539.25875,1544.75158,1550.43136,1545.14056,257.0,257.0
1524.09857,1524.67409,1530.24917,1538.64297,1552.56215,1553.27907,1530.99673,1539.25869,1544.75118,1550.4314,1545.1408,257.0,257.0
1524.09857,1524.67394,1530.24884,1538.64296,1552.56151,1553.27894,1530.99775,1539.25924,1544.75109,1550.4325,1545.14012,257.0,257.0
1524.09596,1524.67334,1530.2477,1538.6421,1552.56136,1553.27861,1530.99754,1539.25927,1544.75131,1550.4314,1545.14091,257.0,257.0
1524.09556,1524.67292,1530.24818,1538.64229,1552.56214,1553.27912,1530.99708,1539.25873,1544.75168,1550.43094,1545.14034,257.0,257.0
1524.09347,1524.67305,1530.24847,1538.64182,1552.56142,1553.27927,1530.99773,1539.2581,1544.7514,1550.43184,1545.14023,257.0,257.0
1524.09587,1524.67267,1530.24758,1538.64242,1552.56213,1553.27906,1530.99777,1539.25917,1544.75051,1550.43141,1545.14043,257.0,257.0
1524.09594,1524.67294,1530.24863,1538.64222,1552.56217,1553.27916,1530.99791,1539.25881,1544.74961,1550.43127,1545.14011,257.0,257.0
1524.09805,1524.67198,1530.24872,1538.64266,1552.56227,1553.27922,1530.99816,1539.25875,1544.75156,1550.43021,1545.14069,257.0,257.0
1524.09741,1524.6721,1530.24832,1538.6425,1552.56165,1553.27901,1530.99852,1539.2586,1544.74975,1550.43102,1545.14007,257.0,257.0
1524.09391,1524.67277,1530.2484,1538.64253,1552.56117,1553.27939,1530.99821,1539.2584,1544.75142,1550.43036,1545.14104,257.0,257.0
1524.09389,1524.67269,1530.24838,1538.64291,1552.5636,1553.27888,1530.99876,1539.25918,1544.75222,1550.43104,1545.14021,257.0,257.0
1524.09389,1524.67455,1530.24789,1538.64222,1552.56292,1553.27944,1530.99834,1539.25954,1544.75179,1550.4309,1545.14052,257.0,257.0
1524.09389,1524.67416,1530.24744,1538.64237,1552.56191,1553.27939,1530.99791,1539.25929,1544.75249,1550.4311,1545.1402,257.0,257.0
1524.09389,1524.67287,1530.24784,1538.64276,1552.56304,1553.2801,1530.99835,1539.25943,1544.75234,1550.43123,1545.141,257.0,257.0
1524.09687,1524.67208,1530.24786,1538.64262,1552.56235,1553.27863,1530.99809,1539.25913,1544.75156,1550.43019,1545.14051,257.0,257.0
1524.09687,1524.67342,1530.24759,1538.642,1552.56146,1553.27936,1530.99842,1539.25854,1544.75155,1550.43129,1545.14021,257.0,257.0
1524.09668,1524.67204,1530.24826,1538.6422,1552.56284,1553.27864,1530.99841,1539.25915,1544.75149,1550.43156,1545.13931,257.0,257.0
1524.09656,1524.67191,1530.24834,1538.64223,1552.56184,1553.27885,1530.9989,1539.25917,1544.75049,1550.4303,1545.14029,257.0,257.0
1524.09439,1524.67176,1530.24785,1538.64204,1552.56238,1553.27913,1530.99881,1539.25916,1544.75304,1550.43061,1545.14,257.0,257.0
1524.09333,1524.67168,1530.24862,1538.6417,1552.56263,1553.2795,1530.99942,1539.25893,1544.75014,1550.43041,1545.14067,257.0,257.0
1524.09326,1524.67218,1530.24845,1538.64209,1552.56375,1553.27962,1530.99874,1539.25877,1544.7511,1550.43039,1545.14008,257.0,257.0
1524.09374,1524.67219,1530.24894,1538.64158,1552.56234,1553.27905,1530.99941,1539.25888,1544.75145,1550.43021,1545.14057,257.0,257.0
1524.0935,1524.67242,1530.24889,1538.64216,1552.56457,1553.27958,1530.99849,1539.25909,1544.7519,1550.42978,1545.14015,257.0,257.0
1524.09239,1524.6717,1530.24801,1538.64198,1552.56543,1553.27842,1530.99913,1539.25909,1544.75175,1550.43008,1545.14069,257.0,257.0
1524.0939,1524.67101,1530.24847,1538.64213,1552.56258,1553.27968,1531.00035,1539.25962,1544.75168,1550.42984,1545.14025,257.0,257.0
1524.09348,1524.6715,1530.24793,1538.64193,1552.56492,1553.28008,1531.00008,1539.25897,1544.7519,1550.43006,1545.13961,257.0,257.0
1524.09329,1524.67148,1530.24883,1538.64199,1552.566,1553.2803,1530.99969,1539.25889,1544.75165,1550.43018,1545.14061,257.0,257.0
1524.09291,1524.67135,1530.24863,1538.64243,1552.56366,1553.28075,1531.00064,1539.25952,1544.75116,1550.42976,1545.13969,257.0,257.0
1524.09422,1524.67199,1530.24791,1538.64206,1552.56412,1553.27935,1530.99997,1539.25909,1544.75173,1550.42966,1545.13941,257.0,257.0
1524.09347,1524.67107,1530.24833,1538.64161,1552.56291,1553.27925,1531.00065,1539.25876,1544.75159,1550.42985,1545.14035,257.0,257.0
